user_id,followers_count,following_count,status_count,created_at
372369260,753,1732,31085,Mon Sep 12 17:03:35 +0000 2011
14111628,3981,4994,82894,Mon Mar 10 05:08:33 +0000 2008
68418304,19,0,778,Mon Aug 24 14:20:46 +0000 2009
72929454,1147,1118,96515,Wed Sep 09 19:30:34 +0000 2009
774757641088294914,72,114,139,Sat Sep 10 23:53:10 +0000 2016
72647147,598,904,20940,Tue Sep 08 19:46:43 +0000 2009
978644970348392449,3,1,164,Tue Mar 27 14:48:38 +0000 2018
719986787997736960,47,57,22010,Tue Apr 12 20:33:21 +0000 2016
824364074741989376,68,53,7226,Wed Jan 25 21:11:26 +0000 2017
776894484055404544,202,300,5283,Fri Sep 16 21:24:14 +0000 2016
790945526745337856,1169,1219,34559,Tue Oct 25 15:58:03 +0000 2016
35337793,1681,2921,9392,Sat Apr 25 23:14:34 +0000 2009
162166668,335,1338,44165,Fri Jul 02 22:18:15 +0000 2010
95930916,52,228,648,Thu Dec 10 16:10:53 +0000 2009
2291608788,293,529,16563,Tue Jan 14 19:44:59 +0000 2014
40717489,1991,1775,36980,Sun May 17 19:17:19 +0000 2009
2662442969,55,305,1475,Wed Jul 02 03:35:08 +0000 2014
933557142761672705,529,536,1656,Thu Nov 23 04:45:42 +0000 2017
870021000,519,56,193906,Tue Oct 09 14:52:33 +0000 2012
896735338433060865,146,741,2031,Sun Aug 13 14:09:00 +0000 2017
3220295547,1057,718,28373,Wed Apr 29 04:34:34 +0000 2015
4765800872,412,293,8981,Sat Jan 16 01:42:05 +0000 2016
336081443,889,657,13554,Fri Jul 15 18:21:47 +0000 2011
15918708,116619,656,43125,Wed Aug 20 15:27:35 +0000 2008
3300994789,1227,4358,26681,Wed Jul 29 23:30:23 +0000 2015
845977366375555072,742,2115,11495,Sun Mar 26 12:34:56 +0000 2017
50284267,2589,535,5688,Wed Jun 24 11:55:02 +0000 2009
15036391,878,1139,9483,Sat Jun 07 06:43:00 +0000 2008
18162008,132,632,682,Tue Dec 16 13:34:11 +0000 2008
205864193,515603,1092,67370,Thu Oct 21 19:32:51 +0000 2010
41963215,1813,2320,8013,Sat May 23 03:13:03 +0000 2009
966723490492616704,6,96,564,Thu Feb 22 17:16:55 +0000 2018
366000916,1436,542,2949,Thu Sep 01 11:52:56 +0000 2011
784853485095231489,2308,2621,9590,Sat Oct 08 20:30:27 +0000 2016
2794382530,3955,2251,20814,Tue Sep 30 11:35:01 +0000 2014
163909723,252,16,62892,Wed Jul 07 15:38:27 +0000 2010
40510796,3567,3714,276754,Sat May 16 18:03:53 +0000 2009
219997270,16569,13879,13623,Fri Nov 26 13:50:20 +0000 2010
57707436,655,0,40075,Fri Jul 17 17:51:27 +0000 2009
2245775322,74122,51264,78742,Sat Dec 14 15:45:57 +0000 2013
3427205007,8737,202,3492,Mon Aug 17 03:11:31 +0000 2015
839188838593540097,16748,2689,97347,Tue Mar 07 18:59:45 +0000 2017
3404470091,248,283,26919,Wed Aug 05 17:33:46 +0000 2015
179542197,11326,5993,8945,Tue Aug 17 15:06:54 +0000 2010
2284128715,51,37,4848,Thu Jan 09 21:12:07 +0000 2014
145337153,3188,2686,10221,Tue May 18 18:32:12 +0000 2010
37242775,11200,1265,79184,Sat May 02 17:40:10 +0000 2009
167181650,1450,1670,21324,Thu Jul 15 23:29:44 +0000 2010
148450312,1070,1651,60768,Wed May 26 18:44:43 +0000 2010
15925111,1775,999,323432,Wed Aug 20 23:51:22 +0000 2008
1884678271,34,118,957,Thu Sep 19 22:58:30 +0000 2013
33394634,6121,6732,88112,Mon Apr 20 02:49:43 +0000 2009
767212939,4845,2080,18390,Sun Aug 19 08:43:18 +0000 2012
34858992,39346,38580,96899,Fri Apr 24 05:35:01 +0000 2009
2329119869,6834,7036,6121,Fri Feb 07 00:02:01 +0000 2014
3951353237,2350,4932,84267,Wed Oct 14 01:05:02 +0000 2015
946056427310845953,74,328,3533,Wed Dec 27 16:33:23 +0000 2017
224080176,119,4,33281,Wed Dec 08 02:56:30 +0000 2010
25675493,349,755,7984,Sat Mar 21 13:58:17 +0000 2009
104865001,12522,13631,300409,Thu Jan 14 16:54:46 +0000 2010
182301577,11583,12427,273088,Tue Aug 24 08:44:10 +0000 2010
65551087,56972,1578,141238,Fri Aug 14 03:30:42 +0000 2009
216242374,1846,4993,48857,Tue Nov 16 04:19:50 +0000 2010
298139855,8379,282,296878,Fri May 13 19:47:26 +0000 2011
53932318,5790,53,398647,Sun Jul 05 15:32:59 +0000 2009
1052125070,111,90,33034,Tue Jan 01 08:14:26 +0000 2013
16832810,1786,786,108397,Fri Oct 17 23:24:29 +0000 2008
831589738691833856,737,636,6266,Tue Feb 14 19:43:38 +0000 2017
37361016,86,773,492,Sun May 03 04:10:20 +0000 2009
881524928595492864,1348,3197,17506,Sun Jul 02 14:48:15 +0000 2017
111770324,535,613,38170,Sat Feb 06 02:47:59 +0000 2010
19685394,1374,2111,40011,Thu Jan 29 00:01:55 +0000 2009
15890094,540723,38,41757,Mon Aug 18 09:23:12 +0000 2008
58919084,3754,6,91128,Tue Jul 21 20:57:47 +0000 2009
16050807,12912,11398,12391,Sat Aug 30 02:53:13 +0000 2008
2579096426,1000,1003,15211,Fri Jun 20 18:42:34 +0000 2014
884304968,75240,68974,29206,Tue Oct 16 12:05:41 +0000 2012
2783180225,4802,0,260501,Thu Sep 25 00:17:24 +0000 2014
19894935,6517,7108,363081,Mon Feb 02 05:39:48 +0000 2009
32582937,1448,3314,62229,Fri Apr 17 21:03:44 +0000 2009
2696389195,28,74,4908,Thu Jul 31 18:45:26 +0000 2014
871516379068850176,357,2174,12859,Sun Jun 04 23:57:51 +0000 2017
826582960245764097,56,46,38507,Wed Feb 01 00:08:29 +0000 2017
624413,3793254,198,316618,Thu Jan 11 05:15:48 +0000 2007
719663407885062145,93,9,5873,Mon Apr 11 23:08:21 +0000 2016
90291844,217,2779,28469,Mon Nov 16 01:17:15 +0000 2009
4266268887,2825,4643,173737,Tue Nov 24 17:58:52 +0000 2015
1649041280,168,163,3645,Tue Aug 06 00:27:58 +0000 2013
943752150085263361,2535,3700,2975,Thu Dec 21 07:57:01 +0000 2017
8839632,1010993,479,165837,Wed Sep 12 19:19:22 +0000 2007
193883220,707,2960,28431,Wed Sep 22 22:01:50 +0000 2010
2573286548,1891,2163,11914,Tue Jun 17 17:33:53 +0000 2014
2921438129,892,1441,111689,Sun Dec 14 14:26:35 +0000 2014
228134082,11394,12504,483496,Sat Dec 18 20:38:31 +0000 2010
125068970,1963,797,106679,Sun Mar 21 15:38:01 +0000 2010
22412777,1016,2589,23439,Sun Mar 01 22:03:11 +0000 2009
24702075,935,2901,89334,Mon Mar 16 14:52:54 +0000 2009
70412243,92,307,4951,Mon Aug 31 14:58:14 +0000 2009
379954624,3471,5002,123494,Sun Sep 25 20:49:25 +0000 2011
24079322,16213,15076,91132,Fri Mar 13 00:09:00 +0000 2009
22841302,542,1388,40326,Wed Mar 04 21:55:09 +0000 2009
95606572,1876,1993,195152,Wed Dec 09 08:50:29 +0000 2009
1538941374,899,198,3824,Sat Jun 22 15:40:54 +0000 2013
2316405764,453,322,7748,Wed Jan 29 02:54:28 +0000 2014
95791672,432,378,11537,Thu Dec 10 01:36:41 +0000 2009
963297230,238,501,7012,Wed Nov 21 23:47:51 +0000 2012
215003182,125,149,34670,Fri Nov 12 19:28:02 +0000 2010
28366439,38847,6125,52224,Thu Apr 02 16:18:49 +0000 2009
2600283656,137,240,856,Wed Jul 02 18:28:59 +0000 2014
881430941167742976,49,62,10294,Sun Jul 02 08:34:47 +0000 2017
