Node,Degree Centrality,Page Rank,Betweenness Centrality,Closeness Centrality
5693992,1,0.5252243692,0,0.1353659728
5743632,1,0.5230694623,0,0.1429308459
5744772,2,0.8429804263,36432.10768,0.1731586579
5746212,1,0.5227816702,0,0.1261084103
5757842,1,0.5312920859,0,0.5033557047
5759352,1,0.4949054393,0,0.1774350566
5766562,1,0.5235171686,0,0.1455806621
5770442,142,62.46786592,2013335.324,0.1526408004
5770992,1,0.5097917994,0,0.1502842512
5778702,1,0.5097917994,0,0.1502842512
5796972,1,0.5238004533,0,0.1386114836
5889412,1,0.5235272275,0,0.1380176159
5907272,2,0.8393922407,1668509.381,0.1957326551
5915912,1,0.5242486101,0,0.1446684073
5928292,1,0.5254692297,0,0.1340222145
5932462,1,0.5242486101,0,0.1446684073
5944832,1,0.5242486101,0,0.1446684073
5952212,1,0.5235171686,0,0.1455806621
5965422,1,0.5242486101,0,0.1446684073
5989682,1,0.5242486101,0,0.1446684073
6010622,2,0.8656248748,502879.9331,0.1822967389
6014812,1,0.5230694623,0,0.1429308459
6030582,1,0.5242486101,0,0.1446684073
6053552,1,0.5171776873,0,0.1522833711
6065942,1,0.5055314052,0,0.1778268461
6087352,1,0.5235171686,0,0.1455806621
6090172,1,0.5055314052,0,0.1778268461
6092972,1,0.4949054393,0,0.1774350566
6120472,1,0.5238004533,0,0.1386114836
6176952,1,0.5235171686,0,0.1455806621
6188152,1,0.5226839739,0,0.1469147063
6220872,1,0.5324137599,0,0.504
6254402,1,0.5055314052,0,0.1778268461
6265452,1,0.5227816702,0,0.1261084103
6267962,1,0.4949054393,0,0.1774350566
6314252,1,0.5338592929,0,0.127809559
6321442,1,0.5235272275,0,0.1380176159
6351742,1,0.5040605598,0,0.1397582582
6356652,1,0.5242486101,0,0.1446684073
6405922,1,0.5242486101,0,0.1446684073
6417162,1,0.5252243692,0,0.1353659728
6417552,1,0.4845779473,0,0.1784499639
6426402,1,0.5055314052,0,0.1778268461
6457492,2,0.8898616719,523493.7044,0.1603537692
6479682,1,0.5247407807,0,0.1287408454
6484412,1,0.5254692297,0,0.1340222145
6535662,1,0.5242486101,0,0.1446684073
6541442,1,0.5230694623,0,0.1429308459
6577492,1,0.5235272275,0,0.1380176159
6589562,1,0.5242486101,0,0.1446684073
6599192,1,0.5276935202,0,0.09847860088
6607222,1,0.5020010248,0,0.1721258512
6611132,1,0.5254692297,0,0.1340222145
6638492,1,0.5055314052,0,0.1778268461
6641602,1,0.5235171686,0,0.1455806621
6642152,1,0.5055314052,0,0.1778268461
6645552,1,0.5065079473,0,0.1698631481
6688542,1,0.5252243692,0,0.1353659728
6694422,1,0.5112857449,0,0.1621254682
6703212,1,0.5055314052,0,0.1778268461
6724252,1,0.5116198477,0,0.1691165698
6742412,1,0.5116198477,0,0.1691165698
6750202,1,0.5112857449,0,0.1621254682
6750862,1,0.5252243692,0,0.1353659728
6814792,1,0.5226839739,0,0.1469147063
6821152,1,0.5221488617,0,0.1485118792
6850322,1,0.5230694623,0,0.1429308459
6901672,1,0.5252243692,0,0.1353659728
6931552,1,0.5215602686,0,0.1612272452
6952262,1,0.5277203394,0,0.1051002291
6988672,1,0.5216771254,0,0.155211438
7001342,1,0.4949054393,0,0.1774350566
7003182,1,0.5254692297,0,0.1340222145
7009642,1,0.5254692297,0,0.1340222145
7010802,1,0.5252243692,0,0.1353659728
7019512,1,0.4964408467,0,0.1733016389
7021122,1,0.5218349112,0,0.1628842219
7025242,1,0.5226839739,0,0.1469147063
7046872,1,0.5097917994,0,0.1502842512
7074132,1,0.5038939136,0,0.1448590312
7087302,1,0.5242486101,0,0.1446684073
7088882,1,0.5230694623,0,0.1429308459
7097602,1,0.5055314052,0,0.1778268461
7103272,1,0.5242486101,0,0.1446684073
