Node,Degree Centrality,Page Rank,Betweeness Centrality,Closeness Centrality
7793272,1,0.5062228205,0.5062228205,0.1763445978
7860902,1,0.5235804116,0.5235804116,0.1572826597
7864952,61,25.25244138,25.25244138,0.1889392882
7871772,1,0.4777606374,0.4777606374,0.1878753103
7890522,1,0.5205445002,0.5205445002,0.1492462951
7911502,1,0.5228593107,0.5228593107,0.1551917989
7935322,1,0.5207298209,0.5207298209,0.1438982011
7971552,1,0.5157832797,0.5157832797,0.1650140647
7976132,1,0.471379631,0.471379631,0.1843814663
7989032,1,0.5228593107,0.5228593107,0.1551917989
8021722,1,0.5240757596,0.5240757596,0.1370565788
8038212,1,0.526025145,0.526025145,0.1448844341
8068152,1,0.523109861,0.523109861,0.1434437086
8121122,1,0.5287236201,0.5287236201,0.5018867925
8157452,3,1.163025733,1.163025733,0.2160416155
8162942,1,0.5258569726,0.5258569726,0.1406718357
8166312,1,0.5206701972,0.5206701972,0.1209369846
8167652,1,0.5258584431,0.5258584431,0.1492083342
8203342,1,0.5166641925,0.5166641925,0.1476621987
8287732,2,0.8507102068,0.8507102068,0.1894222748
8333562,1,0.5220016244,0.5220016244,0.1508421188
8362562,1,0.5235804116,0.5235804116,0.1572826597
8396592,217,96.36345174,96.36345174,1
8396792,1,0.5287410823,0.5287410823,0.1135751279
8522482,1,0.5513829292,0.5513829292,0.5151515152
8523822,1,0.5172091209,0.5172091209,0.1594848094
8552842,1,0.4962013989,0.4962013989,0.1837557754
8554542,1,0.5252894819,0.5252894819,0.1271012007
8566812,1,0.5252894819,0.5252894819,0.1271012007
8592732,1,0.523109861,0.523109861,0.1434437086
8594932,1,0.4991343035,0.4991343035,0.1825028518
8596022,2,0.88118169,0.88118169,0.1838613629
8657542,1,0.5214974214,0.5214974214,0.1225582367
8675652,1,0.5266969304,0.5266969304,0.1238280357
8707192,1,0.5266969304,0.5266969304,0.1238280357
8745122,1,0.5238685491,0.5238685491,0.1474456988
8769212,1,0.5157832797,0.5157832797,0.1650140647
8819062,1,0.5220016244,0.5220016244,0.1508421188
8820652,2,0.8359440127,0.8359440127,0.1968595319
8837312,1,0.5330181592,0.5330181592,0.5043478261
8861342,1,0.5270017416,0.5270017416,0.1428325048
8904192,1,0.5207298209,0.5207298209,0.1438982011
8944042,1,0.5228593107,0.5228593107,0.1551917989
8946142,1,0.5258584431,0.5258584431,0.1492083342
9055142,1,0.5215179336,0.5215179336,0.1631250869
9059032,1,0.5214974214,0.5214974214,0.1225582367
9062092,1,0.5267850273,0.5267850273,0.1363979849
9063952,1,0.4962191574,0.4962191574,0.1858908342
9075292,1,0.523109861,0.523109861,0.1434437086
9083902,1,0.5215179336,0.5215179336,0.1631250869
9088462,1,0.5157832797,0.5157832797,0.1650140647
9091712,1,0.5216159708,0.5216159708,0.1567957056
9111182,1,0.5266969304,0.5266969304,0.1238280357
9128722,1,0.4991343035,0.4991343035,0.1825028518
9158962,1,0.5258569726,0.5258569726,0.1406718357
9230862,1,0.5270017416,0.5270017416,0.1428325048
9234352,1,0.5270017416,0.5270017416,0.1428325048
9247272,1,0.5195827263,0.5195827263,0.1499201363
9280092,1,0.485515808,0.485515808,0.1617086281
9295102,1,0.511537912,0.511537912,0.1698885028
9376622,1,0.4836420282,0.4836420282,0.1580063746
9384732,1,0.5220016244,0.5220016244,0.1508421188
9385512,1,0.5157832797,0.5157832797,0.1650140647
9401152,1,0.5215179336,0.5215179336,0.1631250869
9404682,1,0.5215179336,0.5215179336,0.1631250869
9427962,1,0.5267850273,0.5267850273,0.1363979849
9444672,2,0.8536253529,0.8536253529,0.1848122867
9469112,1,0.5216159708,0.5216159708,0.1567957056
9480642,1,0.4962013989,0.4962013989,0.1837557754
9492352,1,0.5287236201,0.5287236201,0.5018867925
9526962,1,0.5252894819,0.5252894819,0.1271012007
9528642,1,0.5171773727,0.5171773727,0.1571176681
9563172,1,0.5268314521,0.5268314521,0.1311528859
9600912,1,0.5207973285,0.5207973285,0.1562146328
9662352,1,0.5215179336,0.5215179336,0.1631250869
9793612,1,0.5166641925,0.5166641925,0.1476621987
9806742,1,0.5062228205,0.5062228205,0.1763445978
9860432,1,0.5216159708,0.5216159708,0.1567957056
9885222,1,0.4962013989,0.4962013989,0.1837557754
9906812,1,0.5622074815,0.5622074815,0.5217391304
9909562,1,0.5189788109,0.5189788109,0.1528764089
9918632,1,0.4962013989,0.4962013989,0.1837557754
9923692,1,0.5195827263,0.5195827263,0.1499201363
9935222,1,0.5172913539,0.5172913539,0.339673913
9987942,1,0.5266969304,0.5266969304,0.1238280357
9992512,1,0.5235804116,0.5235804116,0.1572826597
10039022,2,0.8205139345,0.8205139345,0.196656051
10076702,1,0.511537912,0.511537912,0.1698885028
10095842,1,0.5215179336,0.5215179336,0.1631250869
10140772,1,0.4920629094,0.4920629094,0.1812015753
10206812,1,0.4908191373,0.4908191373,0.1780844443
10207042,1,0.4991343035,0.4991343035,0.1825028518
10207502,2,0.8064639419,0.8064639419,0.1770542519
10222862,1,0.5166641925,0.5166641925,0.1476621987
10259352,1,0.474726498,0.474726498,0.1603019538
10268302,1,0.511537912,0.511537912,0.1698885028
10271392,1,0.513568361,0.513568361,0.1461295747
10284422,1,0.4991343035,0.4991343035,0.1825028518
10340482,1,0.4777606374,0.4777606374,0.1878753103
10344172,1,0.5344169213,0.5344169213,0.5051546392
10350412,1,0.5252894819,0.5252894819,0.1271012007
10355572,1,0.4962013989,0.4962013989,0.1837557754
10355872,1,0.5136826494,0.5136826494,0.1482312066
10426782,1,0.5081833792,0.5081833792,0.1858908342
10427572,1,0.5082413245,0.5082413245,0.1555621851
10429092,1,0.5285575717,0.5285575717,0.5017921147
10449682,1,0.513568361,0.513568361,0.1461295747
10497032,1,0.5513829292,0.5513829292,0.5151515152
10508522,1,0.5189788109,0.5189788109,0.1528764089
10541332,1,0.5081833792,0.5081833792,0.1858908342
10625152,1,0.513568361,0.513568361,0.1461295747
10668142,1,0.5287410823,0.5287410823,0.1135751279
10720622,1,0.5207298209,0.5207298209,0.1438982011
10816552,1,0.5214974214,0.5214974214,0.1225582367
10828522,1,0.523109861,0.523109861,0.1434437086
10829282,1,0.5062228205,0.5062228205,0.1763445978
